Starting Training Process
    Batch: 100,	Batch Loss: 0.1871936
    Batch: 200,	Batch Loss: 0.1674757
    Batch: 300,	Batch Loss: 0.1647017
    Batch: 400,	Batch Loss: 0.1601179
Epoch: 001,  Loss:0.1698722,  Time:317.41secs	Saved at loss: 0.1698722476
    Batch: 100,	Batch Loss: 0.1592612
    Batch: 200,	Batch Loss: 0.1594745
    Batch: 300,	Batch Loss: 0.1595469
    Batch: 400,	Batch Loss: 0.1552098
Epoch: 002,  Loss:0.1583731,  Time:244.82secs	Saved at loss: 0.1583731062
    Batch: 100,	Batch Loss: 0.1531492
    Batch: 200,	Batch Loss: 0.1481159
    Batch: 300,	Batch Loss: 0.1433566
    Batch: 400,	Batch Loss: 0.1427358
Epoch: 003,  Loss:0.1468394,  Time:244.63secs	Saved at loss: 0.1468393820
    Batch: 100,	Batch Loss: 0.1349974
    Batch: 200,	Batch Loss: 0.1323905
    Batch: 300,	Batch Loss: 0.1355471
    Batch: 400,	Batch Loss: 0.1256674
Epoch: 004,  Loss:0.1321506,  Time:242.65secs	Saved at loss: 0.1321505947
    Batch: 100,	Batch Loss: 0.1268995
    Batch: 200,	Batch Loss: 0.1230370
    Batch: 300,	Batch Loss: 0.1227401
    Batch: 400,	Batch Loss: 0.1233433
Epoch: 005,  Loss:0.1240050,  Time:262.55secs	Saved at loss: 0.1240049559
    Batch: 100,	Batch Loss: 0.1262806
    Batch: 200,	Batch Loss: 0.1169283
    Batch: 300,	Batch Loss: 0.1161017
    Batch: 400,	Batch Loss: 0.1160405
Epoch: 006,  Loss:0.1188378,  Time:259.83secs	Saved at loss: 0.1188377949
    Batch: 100,	Batch Loss: 0.1192572
    Batch: 200,	Batch Loss: 0.1195193
    Batch: 300,	Batch Loss: 0.1140135
    Batch: 400,	Batch Loss: 0.1118950
Epoch: 007,  Loss:0.1161712,  Time:243.00secs	Saved at loss: 0.1161712462
    Batch: 100,	Batch Loss: 0.1103840
    Batch: 200,	Batch Loss: 0.1189116
    Batch: 300,	Batch Loss: 0.1112475
    Batch: 400,	Batch Loss: 0.1065299
Epoch: 008,  Loss:0.1117683,  Time:241.22secs	Saved at loss: 0.1117682605
    Batch: 100,	Batch Loss: 0.1074835
    Batch: 200,	Batch Loss: 0.1090209
    Batch: 300,	Batch Loss: 0.1056421
    Batch: 400,	Batch Loss: 0.1049827
Epoch: 009,  Loss:0.1067823,  Time:241.26secs	Saved at loss: 0.1067823146
    Batch: 100,	Batch Loss: 0.1049027
    Batch: 200,	Batch Loss: 0.1028907
    Batch: 300,	Batch Loss: 0.0971915
